Offer_Spend,Playcoins_Used,Online_Bookings
16432,170,665
19030,307,715
25314,442,898
28862,180,1109
26406,167,970
31179,437,1377
29131,205,1126
18912,339,712
16081,206,658
20002,369,736
30548,397,1254
15568,288,649
30875,163,1314
20342,443,739
26077,185,952
28241,160,1074
17361,299,680
17204,329,677
30639,352,1268
31220,361,1404
30819,394,1294
27909,342,1036
31018,334,1334
31191,441,1382
16543,381,664
31211,437,1394
29833,324,1178
26515,215,970
30956,233,1324
14590,198,637
31160,330,1372
23718,394,843
31117,431,1356
27401,294,1010
22682,170,823
26062,407,936
14820,288,639
21220,271,772
28952,333,1105
14657,263,638
15126,229,643
21901,209,795
17315,427,677
16150,386,657
31172,374,1376
31028,390,1334
19834,331,733
24338,173,881
16280,158,664
21604,329,780
28584,441,1068
14679,162,638
31040,346,1338
31218,402,1402
25833,293,933
14731,351,638
31183,197,1382
14982,165,642
31213,414,1396
17240,157,685
30417,436,1233
22504,344,806
16475,245,664
31208,414,1392
20773,190,764
17468,162,686
30760,217,1291
14841,162,640
29589,436,1147
22288,351,800
29891,400,1179
21242,305,771
20994,294,764
15510,240,649
29445,448,1129
28913,438,1093
27051,215,996
20674,367,753
30226,329,1218
16428,411,662
30889,309,1309
29819,417,1171
15417,157,649
30612,217,1270
31216,450,1398
22544,184,817
22950,438,814
29186,215,1130
24464,294,876
27028,188,998
28099,258,1052
22241,211,805
25315,170,921
15446,197,648
18669,171,712
23785,171,861
24550,259,881
29657,449,1147
31219,373,1402
30474,323,1247
26799,336,976
24645,203,889
30822,432,1292
20601,167,761
24904,193,901
22206,407,794
20661,226,758
14675,220,638
31132,438,1360
24373,159,887
25203,260,908
27240,449,981
29845,236,1184
19916,234,738
24508,231,882
31156,407,1369
17104,230,676
30933,417,1313
27223,231,1004
24587,394,876
15322,367,645
20999,176,771
14694,157,638
24170,253,868
31171,450,1371
23837,448,839
31092,416,1349
31199,431,1387
14890,367,640
26209,184,958
16803,195,671
21514,404,774
17357,369,679
25656,436,914
22340,220,807
28326,365,1061
23266,310,833
25397,450,893
31220,396,1404
29527,401,1146
31220,450,1404
14707,201,638
31211,412,1395
22513,377,805
22609,449,799
30041,444,1188
20141,449,731
19450,220,728
23265,278,834
14889,176,640
30223,444,1208
21219,285,771
30293,188,1233
15057,194,642
19826,226,736
23872,340,852
27072,194,999
29436,384,1140
21769,334,785
30340,443,1222
31204,314,1391
17044,377,673
15873,159,656
28977,381,1104
14590,160,637
30913,180,1318
25563,427,911
31217,448,1400
25323,249,913
31126,304,1361
23304,430,826
15335,434,645
29830,269,1181
30616,442,1258
29871,238,1187
14706,171,638
14950,168,641
20636,444,746
18439,437,698
29855,439,1171
31087,449,1344
28339,379,1060
31189,387,1382
16857,178,673
25971,437,928
28398,384,1063
18284,163,704
14681,208,638
26872,308,981
29719,309,1168
31116,436,1355
30822,239,1300
18478,176,707
29136,303,1120
16353,157,668
31180,395,1379
29401,403,1135
27248,425,992
30637,369,1267
19550,186,732
30109,346,1205
17273,214,680
18372,277,701
14925,435,640
28727,436,1080
15664,379,650
30327,439,1221
31216,408,1399
14623,208,637
25926,172,947
27457,218,1018
17343,172,683
28443,183,1081
14671,181,638
25666,446,911
23148,352,827
30686,404,1272
22930,364,819
31082,300,1349
31187,189,1384
31200,414,1388
31114,446,1353
14809,295,639
31212,450,1394
19110,439,712
31189,277,1384
31217,244,1400
19139,422,713
26631,314,968
25079,160,915
16574,181,667
29052,438,1103
16193,164,661
19120,207,720
30953,450,1311
20222,157,758
26950,351,982
21089,295,767
30762,262,1290
16496,416,663
16100,261,658
30302,261,1229
28764,204,1100
31115,443,1354
31067,360,1344
19220,300,719
18868,410,708
21449,386,774
31218,449,1401
20079,164,748
31100,214,1356
16868,309,671
30796,441,1286
21274,261,773
23864,189,861
22477,157,829
31192,440,1383
25758,168,940
28484,229,1079
31199,397,1387
15394,382,646
30144,206,1216
25540,389,914
29272,158,1148
28344,234,1069
28374,378,1062
15492,177,649
31220,449,1404
30251,450,1205
20270,422,740
15067,358,642
30847,406,1298
28611,352,1080
25904,376,931
31218,447,1402
14746,205,638
28835,196,1105
30970,384,1322
17418,200,683
15183,315,644
16181,158,662
14687,172,638
28807,448,1079
15953,192,656
15399,158,648
27782,365,1027
31219,383,1403
17645,250,686
30950,311,1320
19957,185,742
16153,202,659
30138,419,1203
30586,449,1250
30308,447,1216
31208,265,1393
25759,380,925
22094,162,806
27834,158,1053
28662,375,1082
25807,163,944
16138,158,661
31190,254,1384
18657,247,708
26749,411,968
28452,352,1070
28325,444,1050
29539,431,1144
31215,422,1398
17163,166,680
27924,427,1029
17585,208,686
29855,442,1170
29287,345,1130
31217,231,1401
23901,295,856
16367,160,665
17798,364,687
14996,415,641
15092,417,642
30702,448,1268
14631,160,637
16712,157,674
21102,192,772
14659,159,638
30906,362,1311
31051,439,1337
23492,208,846
16276,266,661
24791,409,882
19116,163,724
26073,240,947
19224,170,725
15513,283,648
30268,366,1221
17571,171,688
14767,159,639
31078,300,1348
19396,338,723
14933,324,640
19689,168,737
23840,345,851
31185,388,1381
31094,371,1351
24882,447,878
31092,423,1349
31208,289,1394
31219,397,1403
30872,387,1303
30872,212,1309
29706,185,1175
29742,401,1165
28731,276,1093
16805,340,669
30997,364,1328
29836,197,1186
15288,212,645
25051,302,899
15595,266,650
31219,450,1402
21603,406,777
15902,336,654
30391,449,1224
30547,269,1259
21009,443,757
31118,433,1356
22875,228,824
26959,208,992
18134,184,699
24571,162,893
14685,234,638
29513,439,1140
21949,356,790
24790,158,906
16180,159,661
21555,173,787
30755,242,1289
16304,417,659
29004,439,1099
30241,397,1216
23665,257,849
31044,450,1332
27541,157,1037
14776,170,639
17659,181,689
15565,216,650
31200,406,1388
27633,312,1022
30418,258,1243
30611,290,1267
29151,208,1128
30192,439,1206
17997,398,691
14989,218,641
29539,437,1142
24119,168,874
31143,291,1367
23613,230,849
16278,441,658
14612,390,637
31100,445,1349
16266,396,659
24178,264,868
22892,192,827
31200,328,1388
22335,213,807
31218,408,1402
14662,372,638
14881,171,640
28750,164,1105
14735,157,639
30302,450,1210
29827,373,1175
20512,262,753
21808,450,772
31137,233,1366
31119,437,1356
25764,441,917
23421,444,827
31201,412,1388
16336,190,663
21777,325,785
27068,203,998
31167,385,1374
24350,162,885
20200,409,739
30235,262,1222
30921,447,1307
27429,383,1006
30014,337,1195
21169,351,767
26059,405,936
14832,359,639
29951,384,1186
31219,383,1404
31220,415,1405
27440,259,1014
31220,443,1405
17007,392,672
19019,385,713
25320,177,919
15549,403,648
29931,350,1186
31173,264,1377
14591,158,637
30976,334,1325
29585,351,1155
26841,448,963
22683,183,822
21313,178,780
14622,438,637
31163,448,1369
23909,439,845
26796,202,984
21906,264,792
30887,355,1307
22994,157,843
22910,158,836
18336,157,708
27883,180,1046
30181,441,1204
16318,159,664
18085,284,695
20145,188,747
18134,163,701
30932,449,1308
31169,324,1375
28500,419,1067
27234,223,1005
14650,366,637
30957,443,1316
14687,237,638
30293,449,1212
27694,285,1027
14660,166,638
31147,438,1365
30050,190,1207
15160,421,643
24382,291,874
30247,280,1223
24820,438,879
29479,432,1138
15228,335,644
23145,339,828
30262,448,1210
15804,167,654
30881,249,1309
25541,174,930
24133,290,864
31214,337,1398
24707,443,873
27569,352,1015
14763,248,639
14979,165,642
31124,402,1359
18390,178,705
30703,444,1270
29703,338,1166
25539,165,932
17608,315,685
21433,412,771
27299,348,1001
30097,442,1195
14977,183,641
22950,241,826
27362,436,996
31044,432,1336
22281,427,795
30715,447,1271
14842,179,640
30740,190,1289
14741,158,639
25600,422,913
28657,276,1088
21556,308,780
29055,220,1119
29931,216,1193
27209,205,1005
31220,449,1404
18882,264,713
27892,185,1046
31210,446,1394
14642,183,637
16491,249,665
26508,412,956
27004,418,980
18935,327,712
31220,445,1405
28274,411,1053
18695,161,714
27252,311,1000
28381,421,1059
29653,428,1154
24942,344,892
15147,157,645
22141,186,804
14594,157,637
22586,157,828
30668,201,1278
24577,445,868
14594,196,637
31220,450,1403
21571,371,778
31220,440,1405
29653,441,1152
28607,361,1079
23788,233,855
26770,160,992
31219,416,1403
16364,300,662
31204,440,1390
29333,271,1138
31220,449,1405
27497,448,998
29249,437,1119
14610,158,637
24916,157,916
15006,220,642
29618,334,1159
31161,187,1374
31215,382,1398
28671,418,1079
29748,444,1159
27138,212,1001
17174,261,677
30850,314,1302
18265,172,702
30115,434,1198
16671,311,667
22913,282,822
31212,450,1395
31219,450,1403
24560,208,886
20945,355,761
31127,392,1360
18427,173,706
31009,222,1334
30833,260,1301
14603,159,637
17993,278,693
28893,334,1101
31156,443,1368
17913,238,692
20574,224,756
16738,197,670
31217,450,1399
20308,418,741
17611,182,688
29558,269,1156
22784,200,823
29710,445,1155
16334,436,659
17531,193,685
27117,427,985
30942,299,1319
31202,294,1390
31139,321,1365
17255,174,681
31210,438,1393
25721,416,920
16287,157,665
25320,325,910
25644,323,923
14594,157,637
28428,449,1051
29845,448,1165
30918,256,1316
31220,424,1405
16069,157,660
31128,450,1354
14651,157,638
31103,416,1352
31209,421,1393
16337,248,662
30651,274,1273
14940,182,641
31165,215,1375
28614,448,1067
31192,443,1383
15059,246,642
27629,323,1021
29720,432,1160
28587,436,1070
14605,179,637
22210,403,794
16018,166,658
15678,168,652
14613,298,637
26020,157,960
18772,319,709
30306,224,1232
